清华大学,tsinghua.edu.cn,http://www.tsinghua.edu.cn/
北京大学,pku.edu.cn,http://www.pku.edu.cn/
中国人民大学,ruc.edu.cn,http://www.ruc.edu.cn/
北京工业大学,bjut.edu.cn,http://www.bjut.edu.cn/
北京航空航天大学,buaa.edu.cn,http://www.buaa.edu.cn/
北京理工大学,bit.edu.cn,http://www.bit.edu.cn/
北京科技大学,ustb.edu.cn,http://www.ustb.edu.cn/
北京化工大学,buct.edu.cn,http://www.buct.edu.cn/
北京邮电大学,bupt.edu.cn,http://www.bupt.edu.cn/
中国农业大学,cau.edu.cn,http://www.cau.edu.cn/
北京林业大学,bjfu.edu.cn,http://www.bjfu.edu.cn/
中国传媒大学,cuc.edu.cn,http://www.cuc.edu.cn/
中央民族大学,muc.edu.cn,http://www.muc.edu.cn/
北京师范大学,bnu.edu.cn,http://www.bnu.edu.cn/
中央音乐学院,ccom.edu.cn,http://www.ccom.edu.cn
对外经济贸易大学,uibe.edu.cn,http://www.uibe.edu.cn/
北京中医药大学,bucm.edu.cn,http://www.bucm.edu.cn/
北京外国语大学,bfsu.edu.cn,http://www.bfsu.edu.cn/
中国石油大学(北京),cup.edu.cn,http://www.cup.edu.cn/
中国政法大学,cupl.edu.cn,http://www.cupl.edu.cn/
中央财经大学,cufe.edu.cn,http://www.cufe.edu.cn/
华北电力大学,ncepu.edu.cn,http://www.ncepu.edu.cn/
北京体育大学,bsu.edu.cn,http://www.bsu.edu.cn/
中国地质大学(北京),cugb.edu.cn,http://www.cugb.edu.cn/
中国矿业大学(北京),cumtb.edu.cn,http://www.cumtb.edu.cn/
上海交通大学,sjtu.edu.cn,http://www.sjtu.edu.cn/
复旦大学,fudan.edu.cn,http://www.fudan.edu.cn/
华东师范大学,ecnu.edu.cn,http://www.ecnu.edu.cn/
上海外国语大学,shisu.edu.cn,http://www.shisu.edu.cn/
东华大学,dhu.edu.cn,http://www.dhu.edu.cn/
上海财经大学,shufe.edu.cn,http://www.shufe.edu.cn/structure/index.html
同济大学,tongji.edu.cn,http://www.tongji.edu.cn/
华东理工大学,ecust.edu.cn,http://www.ecust.edu.cn/
上海大学,shu.edu.cn,http://www.shu.edu.cn/
南开大学,nankai.edu.cn,http://www.nankai.edu.cn/
天津大学,tju.edu.cn,http://www.tju.edu.cn/
天津医科大学,tijmu.edu.cn,http://www.tijmu.edu.cn/
重庆大学,cqu.edu.cn,http://www.cqu.edu.cn/
西南大学,swu.edu.cn,http://www.swu.edu.cn/
河北工业大学,hebut.edu.cn,http://www.hebut.edu.cn/
东北大学秦皇岛分校,neuq.edu.cn,http://www.neuq.edu.cn/
太原理工大学,tyut.edu.cn,http://www.tyut.edu.cn/
内蒙古大学,imu.edu.cn,http://www.imu.edu.cn/
大连理工大学,dlut.edu.cn,http://www.dlut.edu.cn/
东北大学,neu.edu.cn,http://www.neu.edu.cn/
辽宁大学,lnu.edu.cn,http://www.lnu.edu.cn/
大连海事大学,dlmu.edu.cn,http://www.dlmu.edu.cn/
吉林大学,jlu.edu.cn,http://www.jlu.edu.cn/
东北师范大学,nenu.edu.cn,http://www.nenu.edu.cn/
延边大学,ybu.edu.cn,http://www.ybu.edu.cn/
哈尔滨工业大学,hit.edu.cn,http://www.hit.edu.cn/
哈尔滨工程大学,hrbeu.edu.cn,http://www.hrbeu.edu.cn/
东北农业大学,neau.edu.cn,http://www.neau.edu.cn/
东北林业大学,nefu.edu.cn,http://www.nefu.edu.cn/
南京大学,nju.edu.cn,http://www.nju.edu.cn/
东南大学,seu.edu.cn,http://www.seu.edu.cn/
苏州大学,suda.edu.cn,http://www.suda.edu.cn/
南京师范大学,njnu.edu.cn,http://www.njnu.edu.cn/
中国矿业大学,cumt.edu.cn,http://www.cumt.edu.cn/
中国药科大学,cpu.edu.cn,http://www.cpu.edu.cn/
